species,card_short_name,count,gene_list
Campylobacter jejuni,OXA-607,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-580,2,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-585,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,tet(45),1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-603,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,Cjej_23S_ERY,2,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Acinetobacter haemolyticus,sul2,1,"['msrE', 'sul2', 'TEM-12']"
Acinetobacter haemolyticus,msrE,1,"['msrE', 'sul2', 'TEM-12']"
Acinetobacter haemolyticus,TEM-12,1,"['msrE', 'sul2', 'TEM-12']"
Actinobacillus pleuropneumoniae,sul2,1,"['sul2', 'tetR']"
Actinobacillus pleuropneumoniae,tetR,1,"['sul2', 'tetR']"
Histophilus somni,tet(H),1,"['tet(D)', 'floR', 'tet(H)', 'APH(6)-Id']"
Histophilus somni,tet(D),1,"['tet(D)', 'floR', 'tet(H)', 'APH(6)-Id']"
Histophilus somni,APH(6)-Id,1,"['tet(D)', 'floR', 'tet(H)', 'APH(6)-Id']"
Histophilus somni,floR,1,"['tet(D)', 'floR', 'tet(H)', 'APH(6)-Id']"
Shigella dysenteriae,AcrS,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,aadA,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,emrR,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,emrB,2,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
