Prevalence Sequence ID,CARD Short Name,species_count
122441,AAC(6')-31,7
14818,sul2,7
130569,OXA-9,7
14742,mphA,7
39044,AAC(3)-IIc,7
23417,aadA9,7
41103,sul1,7
23409,qacG,7
3268,tet(M),7
23625,AAC(6')-Ib-cr6,7
141691,Sint_ACT_CHL,7
20221,tet(M),7
16228,ANT(3'')-IIa,7
28334,TEM-206,7
20053,tet(A),7
123045,ANT(3'')-IIb,7
3099,ANT(6)-Ia,7
25599,OXA-232,7
28559,aadA3,7
5769,adeF,7
16628,QnrB2,7
3432,tet(32),7
17313,aadA12,7
24140,catB3,7
29869,TEM-81,7
4041,fexA,7
45496,SHV-2,7
24106,CTX-M-8,7
42638,APH(6)-Id,7
123962,AAC(6')-Im,7
31052,qacE,7
15985,mphA,7
32643,aadA2,7
42346,aadA24,7
24316,APH(3'')-Ib,7
11436,ErmF,7
11486,tet(X1),7
11487,ErmF,7
11509,Mef(En2),7
73378,msrE,7
11516,Mef(En2),7
11832,catB3,7
11842,APH(3')-Ib,7
108846,sul1,7
8849,APH(6)-Id,7
8828,APH(6)-Id,7
11925,aphA15,7
5951,tet(59),7
8598,IMP-8,7
174051,Efac_ACT_CHL,7
60965,catB8,7
12213,TEM-243,7
51104,APH(3')-VIa,7
6319,Ecol_soxS_MULT,7
9555,QnrB17,7
74941,qacE,7
9935,AAC(6')-Ib-cr6,7
10135,tet(B),7
40136,APH(6)-Id,7
10232,AAC(6')-Ib-cr3,7
10233,sul1,7
111910,TEM-181,7
10679,QnrVC6,7
10719,catB8,7
169572,qacA,7
116174,cmx,7
11344,APH(3')-VIb,7
57475,qacEdelta1,7
9185,cmlA6,7
11427,tet(Q),7
2816,ErmB,7
7282,qacE,7
13564,IMP-69,7
14458,aadA,7
102940,aadA5,7
13590,catB3,7
14352,catI,7
105198,sul2,7
13933,aadA13,7
5852,APH(3'')-Ib,7
102941,ANT(2'')-Ia,7
7237,catB3,7
13334,qacEdelta1,7
203,EreD,7
7430,ANT(3'')-IIa,7
7640,QnrS4,7
201,tet(X),7
7785,floR,7
6807,rsmA,7
5881,floR,7
12323,qacE,7
8060,QepA2,7
9244,CARB-3,6
25604,APH(3')-Ia,6
9305,KPC-4,6
7754,TEM-196,6
6374,Ecol_soxR_MULT,6
24141,AAC(6')-Ib-cr6,6
6365,CRP,6
6360,baeR,6
6353,AcrS,6
9529,AAC(6')-Ib10,6
6340,acrD,6
23410,qacEdelta1,6
6326,marA,6
3259,ErmB,6
7558,catB3,6
39356,arr-3,6
182916,FosD,6
22911,AAC(6')-Ib7,6
7783,lnuG,6
31931,OXA-4,6
31736,lnuG,6
8158,QnrB2,6
32723,AAC(6')-Ib-cr6,6
35405,APH(3'')-Ib,6
138007,GES-7,6
7274,tet(D),6
22696,AAC(6')-Ib-cr6,6
6697,sul2,6
8969,AAC(6')-Ib10,6
6516,APH(3'')-Ib,6
6499,marA,6
7644,catB3,6
187498,Ssui_ACT_CHL,6
28014,sul2,6
37052,sul1,6
131249,aadA16,6
27630,OXA-1,6
37996,qacE,6
6465,CRP,6
7290,qacEdelta1,6
7827,catB3,6
3098,aad(6),6
9220,AAC(3)-IId,6
25981,sul2,6
28197,lnuF,6
13525,AAC(6')-Ib-cr3,6
13523,aadA15,6
13357,aadA,6
15411,aadA,6
13099,sul1,6
12954,APH(3'')-Ib,6
12800,aadA3,6
10185,aadA24,6
12715,TEM-1,6
5603,aad(6),6
12198,arr-3,6
12132,SHV-2A,6
12083,AAC(6')-Ib-cr5,6
174006,ErmF,6
173930,lnuG,6
15846,APH(6)-Id,6
12787,catB3,6
14613,aadA2,6
14637,aadA24,6
14516,aadA,6
14731,aadA,6
14737,QnrS1,6
14454,aadA,6
5814,APH(3')-VIa,6
175478,sul1,6
5850,ROB-1,6
14124,tet(C),6
14051,vanZ_in_vanA_cl,6
13599,TEM-33,6
15016,tet(A),6
5871,tetR,6
15096,APH(6)-Id,6
15113,TEM-176,6
14858,Ecol_mdfA,6
169619,lnuA,6
169685,qacA,6
19232,sul2,6
10195,sul1,6
20528,APH(6)-Id,6
169694,lnuA,6
3370,catI,6
173926,poxtA,6
147350,APH(3'')-Ib,6
21054,mphB,6
10050,DfrA42_TMP,6
10030,qacEdelta1,6
10013,qacEdelta1,6
6297,msbA,6
21950,NDM-9,6
9644,catI,6
20718,aadA,6
11716,CfxA2,6
16551,sul2,6
11596,ErmB,6
16676,APH(3'')-Ib,6
16677,QnrS2,6
11557,ErmG,6
11518,Mef(En2),6
19149,aadA25,6
18496,aadA8b,6
169464,catA8,6
179076,ErmC,6
18799,APH(3')-Ia,6
11424,tet(X),6
11398,CfxA4,6
169607,aad(6),6
149140,mecR1,6
18282,NDM-7,6
126470,ANT(2'')-Ia,6
89525,TEM-1,6
76338,floR,6
85595,qnrE1,6
188,tet(X),6
43107,qacEdelta1,6
73142,APH(3'')-Ib,6
115617,CARB-3,6
50619,aadA2,6
45056,aadA8,6
43988,tet(B),6
125255,APH(3'')-Ib,6
44078,sul2,6
45246,OXA-663,6
48089,sul1,6
49710,ANT(3'')-IIa,6
70569,ACC-1,6
54082,aadA,6
126824,SHV-30,6
43668,aadA25,6
50971,catB3,6
122744,ANT(2'')-Ia,6
95528,AAC6_Ie_APH2_Ia,6
89125,catIII,6
48256,Ecol_catII,6
3095,ANT(6)-Ia,6
81022,catIII,6
116177,APH(3'')-Ib,6
81085,sul1,6
61053,TEM-181,6
6338,Ecol_mdfA,5
6342,Kpne_KpnE,5
6341,Kpne_KpnF,5
10175,aadA22,5
10189,qacE,5
6334,gadX,5
15967,sul2,5
10263,tet(40),5
6320,Ecol_MarR_MULT,5
15979,dfrA17,5
6344,mdtO,5
141042,vanR_in_vanA_cl,5
16033,APH(3'')-Ib,5
6324,evgA,5
115651,qacE,5
172212,Efae_ACT_CHL,5
26219,sul2,5
9963,sul1,5
26409,AAC(6')-Ib7,5
6387,H-NS,5
16273,qacE,5
6369,Hinf_PBP3_BLA,5
6361,YojI,5
26937,TEM-1,5
10118,AAC(6')-Ib10,5
6359,baeS,5
6347,H-NS,5
16214,APH(3'')-Ib,5
16170,CTX-M-32,5
27259,sul2,5
27339,APH(6)-Id,5
6354,bacA,5
10132,APH(6)-Id,5
115814,qacG,5
27426,MCR-1.11,5
10158,Paer_catB6,5
27444,APH(3'')-Ib,5
6345,mdtN,5
141189,qacEdelta1,5
27013,APH(3'')-Ib,5
15301,APH(3'')-Ib,5
117312,rsmA,5
6200,Ecol_AcrR_MULT,5
169629,PC1_blaZ,5
11437,CfxA3,5
11439,tet(Q),5
29531,AAC(6')-Ib-cr6,5
139206,APH(3'')-Ib,5
29690,qacJ,5
6178,emrR,5
169624,PC1_blaZ,5
96071,TEM-81,5
6163,Kpne_KpnF,5
15147,APH(3'')-Ib,5
15134,Ecol_emrE,5
11549,tet(X),5
51937,qacEdelta1,5
42799,dfrA1,5
15097,APH(6)-Id,5
51936,qacE,5
42798,catB11,5
30983,sul2,5
169573,vgaALC,5
118313,tet(B),5
117366,dfrA27,5
27876,qacJ,5
10779,qacEdelta1,5
28012,sul2,5
15755,APH(6)-Id,5
6298,cpxA,5
10823,AAC(6')-Ib9,5
15713,mef(B),5
126398,APH(2'')-IIa,5
28328,APH(3'')-Ib,5
15564,mef(B),5
15563,TEM-30,5
169695,qacB,5
29028,aadA8,5
28460,dfrA17,5
20625,qacE,5
11109,ErmX,5
11111,ErmX,5
11112,APH(6)-Id,5
11114,ErmX,5
11316,adeF,5
15422,TEM-214,5
